Date,Sales
2021-10-01,29.109546793371752
2021-10-02,30.720435392316784
2021-10-03,30.305172938003885
2021-10-04,27.39089319920146
2021-10-05,22.841123036251822
2021-10-06,19.00244393617403
2021-10-07,23.904593970121496
2021-10-08,27.54413723910639
2021-10-09,30.567059332156006
2021-10-10,30.08703345583652
2021-10-11,25.64404357116089
2021-10-12,22.777838553064832
2021-10-13,21.09075954119744
2021-10-14,23.426180569088743
2021-10-15,28.48935768014951
2021-10-16,31.353952511323826
2021-10-17,31.52051402705575
2021-10-18,25.6448417362342
2021-10-19,21.98663274775276
2021-10-20,19.825626076748712
2021-10-21,21.10151573676183
2021-10-22,29.04911304284444
2021-10-23,32.23471438280906
2021-10-24,29.634269933491705
2021-10-25,28.469754623987612
2021-10-26,20.56919937150309
2021-10-27,21.075480333351884
2021-10-28,23.817321702570077
2021-10-29,30.27827366176254
2021-10-30,33.18963695384985
2021-10-31,30.881382379595067
2021-11-01,26.928162519602186
2021-11-02,21.485779298471748
2021-11-03,19.39892534782652
2021-11-04,24.00659340326976
2021-11-05,29.251843416508063
2021-11-06,33.30056886467728
2021-11-07,32.27881480268256
2021-11-08,26.512673182592053
2021-11-09,22.421262295526525
2021-11-10,20.681168850983347
2021-11-11,23.28448761541693
2021-11-12,27.739224256779067
2021-11-13,34.37105357918135
2021-11-14,30.9167827721465
2021-11-15,26.81192569838882
2021-11-16,21.82076968605193
2021-11-17,22.85721217188235
2021-11-18,23.44060770503795
2021-11-19,29.582754167190117
2021-11-20,31.87481162275588
2021-11-21,32.16333745175739
2021-11-22,27.08919486243112
2021-11-23,22.242932861979448
2021-11-24,22.401539587711785
2021-11-25,25.83283742312632
2021-11-26,30.21201166978725
2021-11-27,33.42275008168934
2021-11-28,31.492112860217187
2021-11-29,27.587258834012893
2021-11-30,23.10110459832593
2021-12-01,22.420168654509894
2021-12-02,24.941359270551448
2021-12-03,28.769211845072405
2021-12-04,33.64770432620331
2021-12-05,32.074654017689895
2021-12-06,26.669801653033968
2021-12-07,24.586347301627637
2021-12-08,22.22242345166719
2021-12-09,26.15645094839204
2021-12-10,31.57458500958161
2021-12-11,33.94926109470697
2021-12-12,33.96583563844148
2021-12-13,27.41517417964638
2021-12-14,24.875906687279414
2021-12-15,22.79491172511013
2021-12-16,25.58370840341404
2021-12-17,30.61664478263968
2021-12-18,33.85872565182218
2021-12-19,33.2326002961279
2021-12-20,27.83485015921668
2021-12-21,25.72439153305607
2021-12-22,24.29538425578091
2021-12-23,25.268261866318685
2021-12-24,33.033746641199684
2021-12-25,36.41616735998015
2021-12-26,34.705214525057826
2021-12-27,29.170075164187725
